39033631,454," American Revolutionary War","2017-07-25 18:19:49.0"
39033631,455," American Revolutionary War","2017-07-25 18:19:54.0"
39033631,455," American Revolutionary War","2017-07-25 18:19:54.0","2017-07-25 18:20:03.0",1,https://en.wikipedia.org/wiki/American_Revolutionary_War,"<b>American Revolutionary War</b> - <b>Wikipedia</b>","The <b>American Revolutionary War</b> (1775–1783), also known as the <b>American War</b> of Independence, was a global <b>war</b> that began as a conflict between Great Britain and her ..."
39033631,455," American Revolutionary War","2017-07-25 18:19:54.0","2017-07-25 18:21:09.0",1,https://en.wikipedia.org/wiki/American_Revolutionary_War,"<b>American Revolutionary War</b> - <b>Wikipedia</b>","The <b>American Revolutionary War</b> (1775–1783), also known as the <b>American War</b> of Independence, was a global <b>war</b> that began as a conflict between Great Britain and her ..."
39033631,464," American Revolutionary War español","2017-07-25 18:22:49.0"
39033631,464," American Revolutionary War español","2017-07-25 18:22:49.0","2017-07-25 18:23:04.0",1,https://en.wikipedia.org/wiki/American_Revolutionary_War,"<b>American Revolutionary War</b> - <b>Wikipedia</b>","The <b>American Revolutionary War</b> (1775–1783), also known as the <b>American War</b> of Independence, was a global <b>war</b> that began as a conflict between Great Britain and ..."
39764508,469,"sintomas causas y prevencion del mal de altura","2017-07-25 18:26:56.0"
39764508,470,"sintomas causas y prevencion del mal de altura","2017-07-25 18:26:59.0"
39764508,470,"sintomas causas y prevencion del mal de altura","2017-07-25 18:26:59.0","2017-07-25 18:27:01.0",2,https://infotratamiento.com/consejos-salud/mal-de-altura/,"Qué es el <b>Mal</b> <b>de</b> <b>Altura</b>? Síntomas, <b>Causas</b> <b>y</b> Prevención","<b>C ausas del mal de altura</b>. La presión atmosférica <b>y</b> por tanto con ella, la presión parcial en oxígeno, ... 3 <b>Causas del mal de altura</b> ; 4 Prevención <b>y</b> cuidados;"
39764508,494,"La guerra revolucionaria americana también se conoce como guerra americana de la libertad","2017-07-25 18:32:17.0"
39764508,494,"La guerra revolucionaria americana también se conoce como guerra americana de la libertad","2017-07-25 18:32:17.0","2017-07-25 18:32:23.0",1,https://es.wikipedia.org/wiki/Guerra_de_Independencia_de_los_Estados_Unidos,"<b>Guerra</b> <b>de</b> Independencia <b>de</b> los <b>Estados Unidos</b> - Wikipedia ...","<b>La guerra de la</b> independencia <b>de Estados Unidos</b> ... (esta operación <b>de</b> transporte <b>se conoce como</b> &quot;noble ... Más tarde Holanda <b>también se</b> unirá a <b>la</b> coalición ..."
39001000,439,"war","2017-07-25 18:16:52.0"
39378680,663,"symptoms, causes and prevention of altitude sickness","2017-07-25 20:10:29.0"
